date,date_id,year,quarter,month,month_name,year_month,day,weekday,weekday_name,is_weekend,is_complete_month
2016-11-16,20161116,2016,4,11,Nov,2016-11,16,3,Wed,False,False
2016-11-17,20161117,2016,4,11,Nov,2016-11,17,4,Thu,False,False
2016-11-18,20161118,2016,4,11,Nov,2016-11,18,5,Fri,False,False
2016-11-19,20161119,2016,4,11,Nov,2016-11,19,6,Sat,True,False
2016-11-20,20161120,2016,4,11,Nov,2016-11,20,7,Sun,True,False
2016-11-21,20161121,2016,4,11,Nov,2016-11,21,1,Mon,False,False
2016-11-22,20161122,2016,4,11,Nov,2016-11,22,2,Tue,False,False
2016-11-23,20161123,2016,4,11,Nov,2016-11,23,3,Wed,False,False
2016-11-24,20161124,2016,4,11,Nov,2016-11,24,4,Thu,False,False
2016-11-25,20161125,2016,4,11,Nov,2016-11,25,5,Fri,False,False
2016-11-26,20161126,2016,4,11,Nov,2016-11,26,6,Sat,True,False
2016-11-27,20161127,2016,4,11,Nov,2016-11,27,7,Sun,True,False
2016-11-28,20161128,2016,4,11,Nov,2016-11,28,1,Mon,False,False
2016-11-29,20161129,2016,4,11,Nov,2016-11,29,2,Tue,False,False
2016-11-30,20161130,2016,4,11,Nov,2016-11,30,3,Wed,False,False
2016-12-01,20161201,2016,4,12,Dec,2016-12,1,4,Thu,False,False
2016-12-02,20161202,2016,4,12,Dec,2016-12,2,5,Fri,False,False
2016-12-03,20161203,2016,4,12,Dec,2016-12,3,6,Sat,True,False
2016-12-04,20161204,2016,4,12,Dec,2016-12,4,7,Sun,True,False
2016-12-05,20161205,2016,4,12,Dec,2016-12,5,1,Mon,False,False
2016-12-06,20161206,2016,4,12,Dec,2016-12,6,2,Tue,False,False
2016-12-07,20161207,2016,4,12,Dec,2016-12,7,3,Wed,False,False
2016-12-08,20161208,2016,4,12,Dec,2016-12,8,4,Thu,False,False
2016-12-09,20161209,2016,4,12,Dec,2016-12,9,5,Fri,False,False
2016-12-10,20161210,2016,4,12,Dec,2016-12,10,6,Sat,True,False
2016-12-11,20161211,2016,4,12,Dec,2016-12,11,7,Sun,True,False
2016-12-12,20161212,2016,4,12,Dec,2016-12,12,1,Mon,False,False
2016-12-13,20161213,2016,4,12,Dec,2016-12,13,2,Tue,False,False
2016-12-14,20161214,2016,4,12,Dec,2016-12,14,3,Wed,False,False
2016-12-15,20161215,2016,4,12,Dec,2016-12,15,4,Thu,False,False
2016-12-16,20161216,2016,4,12,Dec,2016-12,16,5,Fri,False,False
2016-12-17,20161217,2016,4,12,Dec,2016-12,17,6,Sat,True,False
2016-12-18,20161218,2016,4,12,Dec,2016-12,18,7,Sun,True,False
